commit	metric	n_trades	mc_p	status	description
baseline	0.9016	17	0.2804	keep	baseline ADR 0054 LOCKED (lookback=20, exit=10, atr=2.0)
P5_1	-999.0000	0.3916	33	0.4793	ok	phase5 random perturbation #1 (L17E5A0.82P8)
P5_2	0.9213	0.4431	35	0.4628	ok	phase5 random perturbation #2 (L18E10A0.69P14)
P5_3	1.8775	1.1133	22	0.1439	ok	phase5 random perturbation #3 (L14E4A1.11P7)
P5_4	2.1955	1.1283	30	0.1769	ok	phase5 random perturbation #4 (L9E3A1.14P11)
P5_5	2.5766	1.2704	33	0.1319	ok	phase5 random perturbation #5 (L11E5A0.61P13)
P1v2_1	-999.0000	-1.0692	122	-17.14	ok	p1v2 lookback sweep (L5E2A2.0P14EMA0)
P1v2_2	1.7806	0.6822	63	27.67	ok	p1v2 lookback sweep (L10E5A2.0P14EMA0)
P1v2_3	3.2047	1.3918	45	43.93	ok	p1v2 lookback sweep (L15E7A2.0P14EMA0)
P1v2_4	1.7573	0.8451	35	33.03	ok	p1v2 lookback sweep (L20E10A2.0P14EMA0)
P1v2_5	-1.3699	-0.7147	29	24.29	ok	p1v2 lookback sweep (L30E15A2.0P14EMA0)
P1v2_6	1.0847	0.6297	23	36.27	ok	p1v2 lookback sweep (L40E20A2.0P14EMA0)
P1v2_7	-3.0047	-1.7441	23	14.34	ok	p1v2 lookback sweep (L55E27A2.0P14EMA0)
P2v2_1	3.1785	1.2968	53	33.59	ok	p2v2 atr sweep (L15E7A1.0P14EMA0)
P2v2_2	1.6182	0.6748	50	26.46	ok	p2v2 atr sweep (L15E7A1.5P14EMA0)
P2v2_3	3.2047	1.3918	45	43.93	ok	p2v2 atr sweep (L15E7A2.0P14EMA0)
P2v2_4	5.2090	2.3247	42	57.60	ok	p2v2 atr sweep (L15E7A2.5P14EMA0)
P2v2_5	4.9217	2.1965	42	58.59	ok	p2v2 atr sweep (L15E7A3.0P14EMA0)
P2v2_6	4.4685	1.9942	42	55.53	ok	p2v2 atr sweep (L15E7A3.5P14EMA0)
P2v2_7	4.7256	2.1090	42	54.88	ok	p2v2 atr sweep (L15E7A4.0P14EMA0)
P2v2_8	4.6205	2.0621	42	53.02	ok	p2v2 atr sweep (L15E7A5.0P14EMA0)
P3v2_1	2.6128	1.0312	58	28.32	ok	p3v2 exit ratio 0.25 (L15E3A2.5P14EMA0)
P3v2_2	5.2746	2.3110	44	58.16	ok	p3v2 exit ratio 0.4 (L15E6A2.5P14EMA0)
P3v2_3	5.2090	2.3247	42	57.60	ok	p3v2 exit ratio 0.5 (L15E7A2.5P14EMA0)
P3v2_4	2.5350	1.1537	40	50.77	ok	p3v2 exit ratio 0.7 (L15E10A2.5P14EMA0)
P3v2_5	3.6323	1.7067	37	56.31	ok	p3v2 exit ratio 0.9 (L15E13A2.5P14EMA0)
P4v2_1	5.7026	2.4985	44	63.36	ok	p4v2 atr_period 7 (L15E6A2.5P7EMA0)
P4v2_2	5.2768	2.3120	44	57.53	ok	p4v2 atr_period 10 (L15E6A2.5P10EMA0)
P4v2_3	5.2746	2.3110	44	58.16	ok	p4v2 atr_period 14 (L15E6A2.5P14EMA0)
P4v2_4	5.6381	2.4928	43	56.17	ok	p4v2 atr_period 21 (L15E6A2.5P21EMA0)
P4v2_5	3.9899	1.7640	43	46.92	ok	p4v2 atr_period 30 (L15E6A2.5P30EMA0)
P6v2_1	5.7026	2.4985	44	63.36	ok	p6v2 ema 0 (L15E6A2.5P7EMA0)
P6v2_2	3.8732	1.7125	43	37.17	ok	p6v2 ema 50 (L15E6A2.5P7EMA50)
P6v2_3	2.5555	1.2441	34	20.47	ok	p6v2 ema 100 (L15E6A2.5P7EMA100)
P6v2_4	0.2682	0.1378	30	9.89	ok	p6v2 ema 150 (L15E6A2.5P7EMA150)
P6v2_5	-999.0000	-0.6834	26	9.53	ok	p6v2 ema 200 (L15E6A2.5P7EMA200)
P6v2_6	-0.3079	-0.1913	20	14.54	ok	p6v2 ema 250 (L15E6A2.5P7EMA250)
P6v2_7	-3.3852	-2.2848	17	13.57	ok	p6v2 ema 300 (L15E6A2.5P7EMA300)
P5v2_1	-999.0000	-3.2151	24	-1.89	ok	p5v2 random #1 (L17E5A2.06P5EMA262)
P5v2_2	0.2562	0.1178	39	17.22	ok	p5v2 random #2 (L21E7A1.57P6EMA0)
P5v2_3	-999.0000	-0.9049	35	-6.85	ok	p5v2 random #3 (L15E4A3.12P5EMA152)
P5v2_4	-999.0000	-2.7819	24	-3.36	ok	p5v2 random #4 (L16E9A3.51P5EMA181)
P5v2_5	2.9412	1.2000	53	44.72	ok	p5v2 random #5 (L11E7A1.73P6EMA0)
ITER2_BEST	5.7026	2.4985	44	63.36	ok	iter2 BEST train (L15E6A2.5P7EMA0) — search v2 P4v2_1 — EARLY STOP early-trial threshold
ITER2_HELDOUT	-2.0493	-2.0493	29	-16.08	heldout_FAIL	iter2 held-out verdict — overfit confirmed (train 2.50 → held-out -2.05) — 8th honest close
ITER3_PRECHECK	0.0000	0.0000	29	0.00	paradigm_dead	iter3 pre-check (vol regime gate) — held-out projected n=12 < halt 20 → ABORT no search; (f) paradigm-dead confirmed
ITER_FINAL_CLOSE	0.0000	0.0000	0	0.00	honest_close	S35 Donchian autoresearch CLOSED — 9th honest close (8 + final). δ TESTNET = forward path
P3v3_donchian_raw_1	-999.0000	0.2776	67	16.74	ok	v3 donchian_raw trial #1 (atr_period=14_atr_stop_mult=1.5_exit_lookback_n=5_lookback_n=10)
P3v3_donchian_raw_2	2.5849	1.0018	61	34.23	ok	v3 donchian_raw trial #2 (atr_period=14_atr_stop_mult=2.5_exit_lookback_n=5_lookback_n=10)
P3v3_donchian_raw_3	2.2538	0.8735	61	33.18	ok	v3 donchian_raw trial #3 (atr_period=14_atr_stop_mult=3.5_exit_lookback_n=5_lookback_n=10)
P3v3_donchian_raw_4	0.6802	0.3161	38	25.58	ok	v3 donchian_raw trial #4 (atr_period=14_atr_stop_mult=1.5_exit_lookback_n=10_lookback_n=20)
P3v3_donchian_raw_5	3.4139	1.6833	33	38.77	ok	v3 donchian_raw trial #5 (atr_period=14_atr_stop_mult=2.5_exit_lookback_n=10_lookback_n=20)
P3v3_donchian_raw_6	2.6678	1.3154	33	38.58	ok	v3 donchian_raw trial #6 (atr_period=14_atr_stop_mult=3.5_exit_lookback_n=10_lookback_n=20)
P3v3_donchian_raw_7	0.3869	0.2201	24	39.04	ok	v3 donchian_raw trial #7 (atr_period=14_atr_stop_mult=1.5_exit_lookback_n=20_lookback_n=40)
P3v3_donchian_raw_8	0.3674	0.2133	23	28.98	ok	v3 donchian_raw trial #8 (atr_period=14_atr_stop_mult=2.5_exit_lookback_n=20_lookback_n=40)
P3v3_donchian_raw_9	-0.1571	-0.0912	23	17.37	ok	v3 donchian_raw trial #9 (atr_period=14_atr_stop_mult=3.5_exit_lookback_n=20_lookback_n=40)
P3v3_donchian_raw_HELDOUT	-3.3620	-3.3620	24	-24.16	heldout_single	v3 donchian_raw HELDOUT — held-out FAIL: sign-flip (train +1.68 → held-out -3.36) (atr_period=14_atr_stop_mult=2.5_exit_lookback_n=10_lookback_n=20)
P3v3_rsi_mean_reversion_1	-2.6750	-1.0493	59	-11.29	ok	v3 rsi_mean_reversion trial #1 (atr_period=14_atr_stop_mult=2.0_rsi_high=50_rsi_low=25_rsi_period=7)
P3v3_rsi_mean_reversion_2	-999.0000	-1.0149	58	-17.08	ok	v3 rsi_mean_reversion trial #2 (atr_period=14_atr_stop_mult=2.0_rsi_high=60_rsi_low=25_rsi_period=7)
P3v3_rsi_mean_reversion_3	-999.0000	-2.7633	89	-38.87	ok	v3 rsi_mean_reversion trial #3 (atr_period=14_atr_stop_mult=2.0_rsi_high=50_rsi_low=30_rsi_period=7)
P3v3_rsi_mean_reversion_4	-999.0000	-2.4055	80	-47.70	ok	v3 rsi_mean_reversion trial #4 (atr_period=14_atr_stop_mult=2.0_rsi_high=60_rsi_low=30_rsi_period=7)
P3v3_rsi_mean_reversion_5	-4.7632	-3.5679	14	4.43	ok	v3 rsi_mean_reversion trial #5 (atr_period=14_atr_stop_mult=2.0_rsi_high=50_rsi_low=25_rsi_period=14)
P3v3_rsi_mean_reversion_6	-7.9924	-5.9868	14	3.31	ok	v3 rsi_mean_reversion trial #6 (atr_period=14_atr_stop_mult=2.0_rsi_high=60_rsi_low=25_rsi_period=14)
P3v3_rsi_mean_reversion_7	2.8172	1.4271	31	9.39	ok	v3 rsi_mean_reversion trial #7 (atr_period=14_atr_stop_mult=2.0_rsi_high=50_rsi_low=30_rsi_period=14)
P3v3_rsi_mean_reversion_8	3.9065	1.9789	31	27.77	ok	v3 rsi_mean_reversion trial #8 (atr_period=14_atr_stop_mult=2.0_rsi_high=60_rsi_low=30_rsi_period=14)
P3v3_rsi_mean_reversion_HELDOUT	-1.0433	-1.0433	28	-12.11	heldout_single	v3 rsi_mean_reversion HELDOUT — held-out FAIL: sign-flip (train +1.98 → held-out -1.04) (atr_period=14_atr_stop_mult=2.0_rsi_high=60_rsi_low=30_rsi_period=14)
P3v3_bollinger_breakout_1	3.2958	1.3642	51	56.28	ok	v3 bollinger_breakout trial #1 (atr_period=14_atr_stop_mult=2.0_bb_k=1.5_bb_period=15)
P3v3_bollinger_breakout_2	3.0965	1.4238	39	56.39	ok	v3 bollinger_breakout trial #2 (atr_period=14_atr_stop_mult=2.0_bb_k=2.0_bb_period=15)
P3v3_bollinger_breakout_3	1.5984	0.8921	25	31.25	ok	v3 bollinger_breakout trial #3 (atr_period=14_atr_stop_mult=2.0_bb_k=2.5_bb_period=15)
P3v3_bollinger_breakout_4	2.8802	1.2619	44	60.78	ok	v3 bollinger_breakout trial #4 (atr_period=14_atr_stop_mult=2.0_bb_k=1.5_bb_period=20)
P3v3_bollinger_breakout_5	3.8701	1.9082	33	57.73	ok	v3 bollinger_breakout trial #5 (atr_period=14_atr_stop_mult=2.0_bb_k=2.0_bb_period=20)
P3v3_bollinger_breakout_6	0.9316	0.5651	21	41.20	ok	v3 bollinger_breakout trial #6 (atr_period=14_atr_stop_mult=2.0_bb_k=2.5_bb_period=20)
P3v3_bollinger_breakout_7	-0.0391	-0.0195	32	30.92	ok	v3 bollinger_breakout trial #7 (atr_period=14_atr_stop_mult=2.0_bb_k=1.5_bb_period=30)
P3v3_bollinger_breakout_8	-999.0000	-1.1990	28	16.47	ok	v3 bollinger_breakout trial #8 (atr_period=14_atr_stop_mult=2.0_bb_k=2.0_bb_period=30)
P3v3_bollinger_breakout_9	-2.1059	-1.2774	21	19.73	ok	v3 bollinger_breakout trial #9 (atr_period=14_atr_stop_mult=2.0_bb_k=2.5_bb_period=30)
P3v3_bollinger_breakout_HELDOUT	-2.4529	-2.4529	20	-20.11	heldout_single	v3 bollinger_breakout HELDOUT — held-out FAIL: sign-flip (train +1.91 → held-out -2.45) (atr_period=14_atr_stop_mult=2.0_bb_k=2.0_bb_period=20)
P3v3_bollinger_mr_1	-999.0000	-1.0499	107	-20.83	ok	v3 bollinger_mr trial #1 (atr_period=14_atr_stop_mult=2.0_bb_k=1.5_bb_period=15)
P3v3_bollinger_mr_2	-999.0000	-0.6961	70	-7.82	ok	v3 bollinger_mr trial #2 (atr_period=14_atr_stop_mult=2.0_bb_k=2.0_bb_period=15)
P3v3_bollinger_mr_3	-999.0000	-6.8039	35	-27.91	ok	v3 bollinger_mr trial #3 (atr_period=14_atr_stop_mult=2.0_bb_k=2.5_bb_period=15)
P3v3_bollinger_mr_4	-999.0000	-0.8887	93	-23.03	ok	v3 bollinger_mr trial #4 (atr_period=14_atr_stop_mult=2.0_bb_k=1.5_bb_period=20)
P3v3_bollinger_mr_5	-999.0000	-2.2667	68	-27.22	ok	v3 bollinger_mr trial #5 (atr_period=14_atr_stop_mult=2.0_bb_k=2.0_bb_period=20)
P3v3_bollinger_mr_6	-999.0000	-5.1686	39	-29.25	ok	v3 bollinger_mr trial #6 (atr_period=14_atr_stop_mult=2.0_bb_k=2.5_bb_period=20)
P3v3_bollinger_mr_7	-999.0000	-2.0908	71	-30.36	ok	v3 bollinger_mr trial #7 (atr_period=14_atr_stop_mult=2.0_bb_k=1.5_bb_period=30)
P3v3_bollinger_mr_8	-999.0000	-0.1790	53	-4.35	ok	v3 bollinger_mr trial #8 (atr_period=14_atr_stop_mult=2.0_bb_k=2.0_bb_period=30)
P3v3_bollinger_mr_9	0.3294	0.1604	34	5.74	ok	v3 bollinger_mr trial #9 (atr_period=14_atr_stop_mult=2.0_bb_k=2.5_bb_period=30)
P3v3_bollinger_mr_HELDOUT	-2.4682	-2.4682	23	-14.84	heldout_single	v3 bollinger_mr HELDOUT — held-out FAIL: sign-flip (train +0.16 → held-out -2.47) (atr_period=14_atr_stop_mult=2.0_bb_k=2.5_bb_period=30)
P3v3_macd_momentum_1	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #1 (atr_period=14_atr_stop_mult=2.0_macd_fast=8_macd_signal=9_macd_slow=21)
P3v3_macd_momentum_2	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #2 (atr_period=14_atr_stop_mult=2.0_macd_fast=12_macd_signal=9_macd_slow=26)
P3v3_macd_momentum_3	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #3 (atr_period=14_atr_stop_mult=2.0_macd_fast=5_macd_signal=9_macd_slow=35)
P3v3_macd_momentum_4	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #4 (atr_period=14_atr_stop_mult=2.0_macd_fast=12_macd_signal=9_macd_slow=30)
P3v3_macd_momentum_5	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #5 (atr_period=14_atr_stop_mult=1.5_macd_fast=12_macd_signal=9_macd_slow=26)
P3v3_macd_momentum_6	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #6 (atr_period=14_atr_stop_mult=2.5_macd_fast=12_macd_signal=9_macd_slow=26)
P3v3_macd_momentum_7	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #7 (atr_period=14_atr_stop_mult=3.5_macd_fast=12_macd_signal=9_macd_slow=26)
P3v3_macd_momentum_8	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #8 (atr_period=14_atr_stop_mult=1.5_macd_fast=12_macd_signal=14_macd_slow=26)
P3v3_macd_momentum_9	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #9 (atr_period=14_atr_stop_mult=2.5_macd_fast=12_macd_signal=14_macd_slow=26)
P3v3_macd_momentum_10	-999.0000	0.0000	0	0.00	ok	v3 macd_momentum trial #10 (atr_period=14_atr_stop_mult=3.5_macd_fast=12_macd_signal=14_macd_slow=26)
P3v3_macd_momentum_HELDOUT_SKIP	0.0000	0.0000	0	0.00	skipped_train_fail	v3 macd_momentum held-out skipped — train FAIL
P3v3_atr_squeeze_breakout_1	-999.0000	-28.4400	12	-11.33	ok	v3 atr_squeeze_breakout trial #1 (atr_period=14_atr_stop_mult=2.0_lookback_n=10_squeeze_pct=20_squeeze_window=100)
P3v3_atr_squeeze_breakout_2	-999.0000	-34.1992	18	-4.01	ok	v3 atr_squeeze_breakout trial #2 (atr_period=14_atr_stop_mult=2.0_lookback_n=10_squeeze_pct=30_squeeze_window=100)
P3v3_atr_squeeze_breakout_3	-999.0000	-30.5159	15	26.55	ok	v3 atr_squeeze_breakout trial #3 (atr_period=14_atr_stop_mult=2.0_lookback_n=10_squeeze_pct=40_squeeze_window=100)
P3v3_atr_squeeze_breakout_4	-999.0000	-284.9677	6	-16.02	ok	v3 atr_squeeze_breakout trial #4 (atr_period=14_atr_stop_mult=2.0_lookback_n=20_squeeze_pct=20_squeeze_window=100)
P3v3_atr_squeeze_breakout_5	-999.0000	-101.0024	12	-6.84	ok	v3 atr_squeeze_breakout trial #5 (atr_period=14_atr_stop_mult=2.0_lookback_n=20_squeeze_pct=30_squeeze_window=100)
P3v3_atr_squeeze_breakout_6	-999.0000	-36.6921	15	-9.50	ok	v3 atr_squeeze_breakout trial #6 (atr_period=14_atr_stop_mult=2.0_lookback_n=20_squeeze_pct=40_squeeze_window=100)
P3v3_atr_squeeze_breakout_7	-999.0000	-281.1753	4	-10.04	ok	v3 atr_squeeze_breakout trial #7 (atr_period=14_atr_stop_mult=2.0_lookback_n=30_squeeze_pct=20_squeeze_window=100)
P3v3_atr_squeeze_breakout_8	-999.0000	-998.0790	9	-24.65	ok	v3 atr_squeeze_breakout trial #8 (atr_period=14_atr_stop_mult=2.0_lookback_n=30_squeeze_pct=30_squeeze_window=100)
P3v3_atr_squeeze_breakout_9	-999.0000	-925.8658	14	-8.67	ok	v3 atr_squeeze_breakout trial #9 (atr_period=14_atr_stop_mult=2.0_lookback_n=30_squeeze_pct=40_squeeze_window=100)
P3v3_atr_squeeze_breakout_HELDOUT_SKIP	0.0000	0.0000	0	0.00	skipped_train_fail	v3 atr_squeeze_breakout held-out skipped — train FAIL
P3v3_momentum_n_consec_1	-999.0000	-0.8533	214	-25.70	ok	v3 momentum_n_consec trial #1 (atr_period=14_atr_stop_mult=1.5_exit_n_reverse=2_n_consec=2)
P3v3_momentum_n_consec_2	-1.7366	-0.4658	203	-15.09	ok	v3 momentum_n_consec trial #2 (atr_period=14_atr_stop_mult=2.0_exit_n_reverse=2_n_consec=2)
P3v3_momentum_n_consec_3	-2.1362	-0.5745	201	-17.70	ok	v3 momentum_n_consec trial #3 (atr_period=14_atr_stop_mult=3.0_exit_n_reverse=2_n_consec=2)
P3v3_momentum_n_consec_4	-999.0000	-0.6565	132	-15.35	ok	v3 momentum_n_consec trial #4 (atr_period=14_atr_stop_mult=1.5_exit_n_reverse=2_n_consec=3)
P3v3_momentum_n_consec_5	-999.0000	-1.1340	131	-27.06	ok	v3 momentum_n_consec trial #5 (atr_period=14_atr_stop_mult=2.0_exit_n_reverse=2_n_consec=3)
P3v3_momentum_n_consec_6	-999.0000	-0.6095	128	-17.27	ok	v3 momentum_n_consec trial #6 (atr_period=14_atr_stop_mult=3.0_exit_n_reverse=2_n_consec=3)
P3v3_momentum_n_consec_7	3.0581	1.1784	62	13.72	ok	v3 momentum_n_consec trial #7 (atr_period=14_atr_stop_mult=1.5_exit_n_reverse=2_n_consec=4)
P3v3_momentum_n_consec_8	2.1667	0.8349	62	11.52	ok	v3 momentum_n_consec trial #8 (atr_period=14_atr_stop_mult=2.0_exit_n_reverse=2_n_consec=4)
P3v3_momentum_n_consec_9	3.9645	1.5276	62	16.30	ok	v3 momentum_n_consec trial #9 (atr_period=14_atr_stop_mult=3.0_exit_n_reverse=2_n_consec=4)
P3v3_momentum_n_consec_10	1.1784	0.5888	32	6.05	ok	v3 momentum_n_consec trial #10 (atr_period=14_atr_stop_mult=1.5_exit_n_reverse=2_n_consec=5)
P3v3_momentum_n_consec_HELDOUT	-2.0181	-2.0181	36	-7.55	heldout_single	v3 momentum_n_consec HELDOUT — held-out FAIL: sign-flip (train +1.53 → held-out -2.02) (atr_period=14_atr_stop_mult=3.0_exit_n_reverse=2_n_consec=4)
P3v3_volume_breakout_1	1.6842	0.7913	37	37.78	ok	v3 volume_breakout trial #1 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=7_lookback_n=15_vol_mult=1.2_vol_window=20)
P3v3_volume_breakout_2	-1.0350	-0.5399	29	39.35	ok	v3 volume_breakout trial #2 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=7_lookback_n=15_vol_mult=1.5_vol_window=20)
P3v3_volume_breakout_3	-7.2533	-4.7530	18	17.58	ok	v3 volume_breakout trial #3 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=7_lookback_n=15_vol_mult=2.0_vol_window=20)
P3v3_volume_breakout_4	0.2610	0.1341	30	29.20	ok	v3 volume_breakout trial #4 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=10_lookback_n=20_vol_mult=1.2_vol_window=20)
P3v3_volume_breakout_5	-2.9394	-1.6110	26	26.81	ok	v3 volume_breakout trial #5 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=10_lookback_n=20_vol_mult=1.5_vol_window=20)
P3v3_volume_breakout_6	-999.0000	-7.2274	18	21.24	ok	v3 volume_breakout trial #6 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=10_lookback_n=20_vol_mult=2.0_vol_window=20)
P3v3_volume_breakout_7	-0.3758	-0.2097	25	29.62	ok	v3 volume_breakout trial #7 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=15_lookback_n=30_vol_mult=1.2_vol_window=20)
P3v3_volume_breakout_8	-1.2608	-0.7477	22	23.87	ok	v3 volume_breakout trial #8 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=15_lookback_n=30_vol_mult=1.5_vol_window=20)
P3v3_volume_breakout_9	-999.0000	-5.5248	16	8.17	ok	v3 volume_breakout trial #9 (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=15_lookback_n=30_vol_mult=2.0_vol_window=20)
P3v3_volume_breakout_HELDOUT	-2.4283	-2.4283	23	-13.77	heldout_single	v3 volume_breakout HELDOUT — held-out FAIL: sign-flip (train +0.79 → held-out -2.43) (atr_period=14_atr_stop_mult=2.0_exit_lookback_n=7_lookback_n=15_vol_mult=1.2_vol_window=20)
P3v3_ema_crossover_1	2.9430	1.1844	55	53.30	ok	v3 ema_crossover trial #1 (atr_period=14_atr_stop_mult=2.0_ema_fast=5_ema_slow=20)
P3v3_ema_crossover_2	-5.2107	-2.4484	37	20.39	ok	v3 ema_crossover trial #2 (atr_period=14_atr_stop_mult=2.0_ema_fast=10_ema_slow=30)
P3v3_ema_crossover_3	-4.6492	-2.2634	34	24.80	ok	v3 ema_crossover trial #3 (atr_period=14_atr_stop_mult=2.0_ema_fast=12_ema_slow=26)
P3v3_ema_crossover_4	0.1372	0.0780	24	23.03	ok	v3 ema_crossover trial #4 (atr_period=14_atr_stop_mult=2.0_ema_fast=15_ema_slow=50)
P3v3_ema_crossover_5	-2.3586	-1.6435	16	9.08	ok	v3 ema_crossover trial #5 (atr_period=14_atr_stop_mult=2.0_ema_fast=20_ema_slow=100)
P3v3_ema_crossover_6	-999.0000	-11.3085	34	-23.78	ok	v3 ema_crossover trial #6 (atr_period=14_atr_stop_mult=1.0_ema_fast=12_ema_slow=26)
P3v3_ema_crossover_7	-6.3931	-3.1123	34	26.56	ok	v3 ema_crossover trial #7 (atr_period=14_atr_stop_mult=1.5_ema_fast=12_ema_slow=26)
P3v3_ema_crossover_8	1.4806	0.7208	34	35.55	ok	v3 ema_crossover trial #8 (atr_period=14_atr_stop_mult=2.5_ema_fast=12_ema_slow=26)
P3v3_ema_crossover_9	2.1220	1.0330	34	40.87	ok	v3 ema_crossover trial #9 (atr_period=14_atr_stop_mult=3.5_ema_fast=12_ema_slow=26)
P3v3_ema_crossover_HELDOUT	-3.5942	-3.5942	45	-32.05	heldout_single	v3 ema_crossover HELDOUT — held-out FAIL: sign-flip (train +1.18 → held-out -3.59) (atr_period=14_atr_stop_mult=2.0_ema_fast=5_ema_slow=20)
P3v3_price_channel_with_atr_1	2.8189	1.2242	45	39.05	ok	v3 price_channel_with_atr trial #1 (atr_pct_max=0.05_atr_pct_min=0.003_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=7_lookback_n=15)
P3v3_price_channel_with_atr_2	2.8189	1.2242	45	39.05	ok	v3 price_channel_with_atr trial #2 (atr_pct_max=0.05_atr_pct_min=0.005_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=7_lookback_n=15)
P3v3_price_channel_with_atr_3	2.5469	1.1159	44	36.59	ok	v3 price_channel_with_atr trial #3 (atr_pct_max=0.05_atr_pct_min=0.01_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=7_lookback_n=15)
P3v3_price_channel_with_atr_4	1.7573	0.8451	35	33.03	ok	v3 price_channel_with_atr trial #4 (atr_pct_max=0.05_atr_pct_min=0.003_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=10_lookback_n=20)
P3v3_price_channel_with_atr_5	1.7573	0.8451	35	33.03	ok	v3 price_channel_with_atr trial #5 (atr_pct_max=0.05_atr_pct_min=0.005_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=10_lookback_n=20)
P3v3_price_channel_with_atr_6	1.7792	0.8556	35	32.93	ok	v3 price_channel_with_atr trial #6 (atr_pct_max=0.05_atr_pct_min=0.01_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=10_lookback_n=20)
P3v3_price_channel_with_atr_7	-1.3699	-0.7147	29	24.29	ok	v3 price_channel_with_atr trial #7 (atr_pct_max=0.05_atr_pct_min=0.003_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=15_lookback_n=30)
P3v3_price_channel_with_atr_8	-1.3699	-0.7147	29	24.29	ok	v3 price_channel_with_atr trial #8 (atr_pct_max=0.05_atr_pct_min=0.005_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=15_lookback_n=30)
P3v3_price_channel_with_atr_9	-1.3699	-0.7147	29	24.29	ok	v3 price_channel_with_atr trial #9 (atr_pct_max=0.05_atr_pct_min=0.01_atr_period=14_atr_stop_mult=2.0_exit_lookback_n=15_lookback_n=30)
